model,stratum,n,observed_mean,predicted_mean,aggregate_bias_pct
osm_squared_error,road_type:LOCAL DISTRIBUTOR,263,7424.448669201521,10604.007397653357,42.82551971355725
osm_squared_error,road_type:PRIMARY DISTRIBUTOR,200,29847.75,32016.379310821147,7.26563747961286
osm_squared_error,road_type:RURAL ROAD,24,15765.0,20050.015758309422,27.180563008623047
osm_squared_error,road_type:RURAL TRUNK ROAD,7,36290.0,31065.276646143357,-14.397143438568868
osm_squared_error,road_type:URBAN TRUNK ROAD,58,71211.55172413793,59679.47320978303,-16.194112099997923
osm_squared_error,osm_highway_group:local,138,6414.420289855072,6671.881243526752,4.01378366302057
osm_squared_error,osm_highway_group:motorway,84,58116.42857142857,58263.31881167338,0.2527516639537907
osm_squared_error,osm_highway_group:primary,147,32358.231292517008,33864.07450012181,4.653663526884531
osm_squared_error,osm_highway_group:secondary,287,17721.811846689896,18479.479517270673,4.275339774145573
osm_squared_error,osm_highway_group:service,5,39332.0,34859.92806643042,-11.370059833137347
osm_squared_error,osm_highway_group:tertiary,168,9754.82142857143,11157.376634942857,14.378071568418537
osm_squared_error,osm_highway_group:trunk,50,58900.0,60535.68566035761,2.7770554505222433
structure_gtfs_absolute,all,879,23197.11035267349,20326.7063049962,-12.373972464835377
structure_gtfs_absolute,region:Hong Kong Island,222,20285.99099099099,15262.5386204712,-24.7631598217248
structure_gtfs_absolute,region:Kowloon,308,23239.83766233766,20810.69646480961,-10.452487804872685
structure_gtfs_absolute,region:New Territories,349,25011.174785100287,23120.907613712585,-7.55769046287971
structure_gtfs_absolute,road_network:MAJOR,697,27639.48350071736,23089.56563409175,-16.461660242339644
structure_gtfs_absolute,road_network:MINOR,182,6184.285714285715,9745.865907306108,57.59080931194909
structure_gtfs_absolute,road_type:DISTRICT DISTRIBUTOR,282,15660.709219858156,15868.172871153918,1.3247398210592856
structure_gtfs_absolute,road_type:EXPRESSWAY,45,73091.11111111111,61564.277563388125,-15.77049982206482
structure_gtfs_absolute,road_type:LOCAL DISTRIBUTOR,263,7424.448669201521,10946.928703640262,47.44433144309926
structure_gtfs_absolute,road_type:PRIMARY DISTRIBUTOR,200,29847.75,22994.028709163613,-22.962271162269808
structure_gtfs_absolute,road_type:RURAL ROAD,24,15765.0,16301.171302853554,3.401023170653698
structure_gtfs_absolute,road_type:RURAL TRUNK ROAD,7,36290.0,21807.159723251774,-39.908625728157126
structure_gtfs_absolute,road_type:URBAN TRUNK ROAD,58,71211.55172413793,44831.57554917979,-37.04451811013741
structure_gtfs_absolute,osm_highway_group:local,138,6414.420289855072,8553.204194989812,33.343370226572134
structure_gtfs_absolute,osm_highway_group:motorway,84,58116.42857142857,49890.745697494065,-14.153799667549519
structure_gtfs_absolute,osm_highway_group:primary,147,32358.231292517008,21166.26986818478,-34.58767978743146
structure_gtfs_absolute,osm_highway_group:secondary,287,17721.811846689896,16402.588931112296,-7.444063434315309
structure_gtfs_absolute,osm_highway_group:service,5,39332.0,27512.101864025317,-30.05160717984003
structure_gtfs_absolute,osm_highway_group:tertiary,168,9754.82142857143,11805.666643943643,21.023913460531237
structure_gtfs_absolute,osm_highway_group:trunk,50,58900.0,51122.256504770274,-13.204997445211756
